style,image_id_1,image_id_2,similarity,flag
Bauhaus architecture,ARC_0034,ARC_0051,0.7592,HIGH_SIMILARITY
Bauhaus architecture,ARC_0034,ARC_0052,0.7503,HIGH_SIMILARITY
Bauhaus architecture,ARC_0034,ARC_0053,0.71,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0034,ARC_0054,0.8063,HIGH_SIMILARITY
Bauhaus architecture,ARC_0034,ARC_0055,0.7781,HIGH_SIMILARITY
Bauhaus architecture,ARC_0034,ARC_0056,0.7208,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0035,ARC_0037,0.7724,HIGH_SIMILARITY
Bauhaus architecture,ARC_0035,ARC_0038,0.7423,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0035,ARC_0039,0.7044,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0035,ARC_0040,0.7143,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0035,ARC_0041,0.7845,HIGH_SIMILARITY
Bauhaus architecture,ARC_0035,ARC_0043,0.7793,HIGH_SIMILARITY
Bauhaus architecture,ARC_0035,ARC_0046,0.808,HIGH_SIMILARITY
Bauhaus architecture,ARC_0035,ARC_0047,0.8018,HIGH_SIMILARITY
Bauhaus architecture,ARC_0035,ARC_0048,0.8502,VERY_HIGH_SIMILARITY
Bauhaus architecture,ARC_0035,ARC_0051,0.7818,HIGH_SIMILARITY
Bauhaus architecture,ARC_0035,ARC_0052,0.7854,HIGH_SIMILARITY
Bauhaus architecture,ARC_0035,ARC_0054,0.7291,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0035,ARC_0055,0.8077,HIGH_SIMILARITY
Bauhaus architecture,ARC_0035,ARC_0056,0.7737,HIGH_SIMILARITY
Bauhaus architecture,ARC_0036,ARC_0037,0.7397,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0036,ARC_0046,0.708,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0036,ARC_0049,0.7502,HIGH_SIMILARITY
Bauhaus architecture,ARC_0036,ARC_0054,0.7509,HIGH_SIMILARITY
Bauhaus architecture,ARC_0036,ARC_0055,0.7071,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0037,ARC_0038,0.7279,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0037,ARC_0039,0.7173,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0037,ARC_0040,0.7574,HIGH_SIMILARITY
Bauhaus architecture,ARC_0037,ARC_0041,0.78,HIGH_SIMILARITY
Bauhaus architecture,ARC_0037,ARC_0043,0.7993,HIGH_SIMILARITY
Bauhaus architecture,ARC_0037,ARC_0046,0.7658,HIGH_SIMILARITY
Bauhaus architecture,ARC_0037,ARC_0047,0.8133,HIGH_SIMILARITY
Bauhaus architecture,ARC_0037,ARC_0048,0.7969,HIGH_SIMILARITY
Bauhaus architecture,ARC_0037,ARC_0049,0.7467,MODERATE_SIMILARITY
Bauhaus architecture,ARC_0037,ARC_0050,0.7561,HIGH_SIMILARITY
Bauhaus architecture,ARC_0037,ARC_0051,0.7787,HIGH_SIMILARITY
Bauhaus architecture,ARC_0037,ARC_0052,0.8025,HIGH_SIMILARITY
Bauhaus architecture,ARC_0037,ARC_0054,0.7636,HIGH_SIMILARITY
Bauhaus architecture,ARC_0037,ARC_0055,0.7946,HIGH_SIMILARITY
Bauhaus architecture,ARC_0037,ARC_0056,0.7758,HIGH_SIMILARITY
Bauhaus architecture,ARC_0038,ARC_0039,0.7628,HIGH_SIMILARITY
Bauhaus architecture,ARC_0038,ARC_0040,0.7877,HIGH_SIMILARITY
Bauhaus architecture,ARC_0038,ARC_0041,0.8477,HIGH_SIMILARITY
Bauhaus architecture,ARC_0038,ARC_0043,0.8395,HIGH_SIMILARITY
Bauhaus architecture,ARC_0038,ARC_0046,0.7498,MODERATE_SIMILARITY
